Survived,Age,Fare
0,18,73.5
0,1,46.9
1,36,13
0,,7.7292
1,17,12
1,36,120
1,21,7.7958
0,28,7.925
1,23,113.275
1,24,16.7
0,22,7.7958
0,31,7.8542
0,46,26
0,23,10.5
1,28,12.65
1,39,7.925
0,26,8.05
0,21,9.825
0,28,15.85
0,20,8.6625
0,34,21
0,51,7.75
1,3,18.75
0,21,7.775
0,,25.4667
0,,7.8958
0,,6.8583
1,33,90
0,,0
1,44,7.925
0,,8.05
1,34,32.5
1,18,13
0,30,13
0,10,24.15
0,,7.8958
0,21,7.7333
0,29,7.875
0,28,14.4
0,18,20.2125
0,,7.25
1,28,26
1,19,26
0,,7.75
1,32,8.05
1,28,26.55
1,,16.1
1,42,26
0,17,7.125
0,50,55.9
1,14,120
0,21,34.375
1,24,18.75
0,64,263
0,31,10.5
1,45,26.25
0,20,9.5
0,25,7.775
1,28,13
1,,8.1125
1,4,81.8583
1,13,19.5
1,34,26.55
1,5,19.2583
1,52,30.5
0,36,27.75
0,,19.9667
0,30,27.75
1,49,89.1042
0,,8.05
1,29,7.8958
0,65,26.55
1,,51.8625
1,50,10.5
0,,7.75
1,48,26.55
0,34,8.05
0,47,38.5
0,48,13
0,,8.05
0,38,7.05
0,,0
0,56,26.55
0,,7.725
1,0.75,19.2583
0,,7.25
0,38,8.6625
1,33,27.75
1,23,13.7917
0,22,9.8375
0,,52
0,34,21
0,29,7.0458
0,22,7.5208
1,2,12.2875
0,9,46.9
0,,0
0,50,8.05
1,63,9.5875
1,25,91.0792
0,,25.4667
1,35,90
0,58,29.7
0,30,8.05
1,9,15.9
0,,19.9667
0,21,7.25
0,55,30.5
0,71,49.5042
0,21,8.05
0,,14.4583
1,54,78.2667
0,,15.1
0,25,151.55
0,24,7.7958
0,17,8.6625
0,21,7.75
0,,7.6292
0,37,9.5875
1,16,86.5
0,18,108.9
1,33,26
1,,26.55
0,28,22.525
1,26,56.4958
1,29,7.75
0,,8.05
1,36,26.2875
1,54,59.4
0,24,7.4958
0,47,34.0208
1,34,10.5
0,,24.15
1,36,26
0,32,7.8958
1,30,93.5
0,22,7.8958
0,,7.225
1,44,57.9792
0,,7.2292
0,40.5,7.75
1,50,10.5
0,,221.7792
0,39,7.925
0,23,11.5
1,2,26
0,,7.2292
0,17,7.2292
1,,22.3583
0,30,8.6625
1,7,26.25
0,45,26.55
1,30,106.425
0,,14.5
1,22,49.5
1,36,71
0,9,31.275
0,11,31.275
1,32,26
0,50,106.425
0,64,26
1,19,26
1,,13.8625
0,33,20.525
1,8,36.75
1,17,110.8833
0,27,26
0,,7.8292
1,22,7.225
1,22,7.775
0,62,26.55
1,48,39.6
0,,227.525
1,39,79.65
1,36,17.4
0,,7.75
0,40,7.8958
0,28,13.5
0,,8.05
0,,8.05
0,24,24.15
0,19,7.8958
0,29,21.075
0,,7.2292
1,32,7.8542
1,62,10.5
1,53,51.4792
1,36,26.3875
1,,7.75
0,16,8.05
0,19,14.5
1,34,13
1,39,55.9
0,,14.4583
1,32,7.925
1,25,30
1,39,110.8833
0,54,26
0,36,40.125
0,,8.7125
1,18,79.65
0,47,15
1,60,79.2
0,22,8.05
0,,8.05
0,35,7.125
1,52,78.2667
0,47,7.25
0,,7.75
0,37,26
0,36,24.15
1,,33
0,49,0
0,,7.225
1,49,56.9292
1,24,27
0,,7.8958
0,,42.4
0,44,8.05
1,35,26.55
0,36,15.55
0,30,7.8958
1,27,30.5
1,22,41.5792
1,40,153.4625
0,39,31.275
0,,7.05
1,,15.5
0,,7.75
0,35,8.05
1,24,65
0,34,14.4
0,26,16.1
1,4,39
0,26,10.5
0,27,14.4542
1,42,52.5542
1,20,15.7417
0,21,7.8542
0,21,16.1
0,61,32.3208
0,57,12.35
1,21,77.9583
0,26,7.8958
0,,7.7333
1,80,30
0,51,7.0542
1,32,30.5
0,,0
0,9,27.9
1,28,13
0,32,7.925
0,31,26.25
0,41,39.6875
0,,16.1
0,20,7.8542
1,24,69.3
0,2,27.9
1,,56.4958
1,0.75,19.2583
1,48,76.7292
0,19,7.8958
1,56,35.5
0,,7.55
1,23,7.55
0,,7.8958
1,18,23
0,21,8.4333
1,,7.8292
0,18,6.75
0,24,73.5
0,,7.8958
0,32,15.5
0,23,13
0,58,113.275
1,50,133.65
0,40,7.225
0,47,25.5875
0,36,7.4958
1,20,7.925
0,32,73.5
0,25,13
0,,7.775
0,43,8.05
1,,52
1,40,39
0,31,52
0,70,10.5
1,31,13
0,,0
0,18,7.775
0,24.5,8.05
1,18,9.8417
0,43,46.9
1,36,512.3292
0,,8.1375
1,27,76.7292
0,20,9.225
0,14,46.9
0,60,39
0,25,41.5792
0,14,39.6875
0,19,10.1708
0,18,7.7958
1,15,211.3375
1,31,57
1,4,13.4167
1,,56.4958
0,25,7.225
0,60,26.55
0,52,13.5
0,44,8.05
1,,7.7333
0,49,110.8833
0,42,7.65
1,18,227.525
1,35,26.2875
0,18,14.4542
0,25,7.7417
0,26,7.8542
0,39,26
1,45,13.5
1,42,26.2875
1,22,151.55
1,,15.2458
1,24,49.5042
0,,26.55
1,48,52
0,29,9.4833
0,52,13
0,19,7.65
1,38,227.525
1,27,10.5
0,,15.5
0,33,7.775
1,6,33
0,17,7.0542
0,34,13
0,50,13
1,27,53.1
0,20,8.6625
1,30,21
1,,7.7375
0,25,26
0,25,7.925
1,29,211.3375
0,11,18.7875
0,,0
0,23,13
0,23,13
0,28.5,16.1
0,48,34.375
1,35,512.3292
0,,7.8958
0,,7.8958
1,,30
0,36,78.85
1,21,262.375
0,24,16.1
1,31,7.925
0,70,71
0,16,20.25
1,30,13
0,19,53.1
0,31,7.75
1,4,23
1,6,12.475
0,33,9.5
0,23,7.8958
1,48,65
1,0.67,14.5
0,28,7.7958
0,18,11.5
0,34,8.05
1,33,86.5
0,,14.5
0,41,7.125
1,20,7.2292
1,36,120
0,16,7.775
1,51,77.9583
0,,39.6
0,30.5,7.75
0,,24.15
0,32,8.3625
0,24,9.5
0,48,7.8542
0,57,10.5
0,,7.225
1,54,23
0,18,7.75
0,,7.75
1,5,12.475
0,,7.7375
1,43,211.3375
1,13,7.2292
1,17,57
0,29,30
0,,23.45
0,25,7.05
0,25,7.25
1,18,7.4958
0,8,29.125
1,1,20.575
0,46,79.2
0,,7.75
0,16,26
0,,69.55
0,,30.6958
0,25,7.8958
0,39,13
1,49,25.9292
1,31,8.6833
0,30,7.2292
0,30,24.15
0,34,13
1,31,26.25
1,11,120
1,0.42,8.5167
1,27,6.975
0,31,7.775
0,39,0
0,18,7.775
0,39,13
1,33,53.1
0,26,7.8875
0,39,24.15
0,35,10.5
0,6,31.275
0,30.5,8.05
0,,0
0,23,7.925
0,31,37.0042
0,43,6.45
0,10,27.9
1,52,93.5
1,27,8.6625
0,38,0
1,27,12.475
0,2,39.6875
0,,6.95
0,,56.4958
1,1,37.0042
1,,7.75
1,62,80
1,15,14.4542
1,0.83,18.75
0,,7.2292
0,23,7.8542
0,18,8.3
1,39,83.1583
0,21,8.6625
0,,8.05
1,32,56.4958
1,,29.7
0,20,7.925
0,16,10.5
1,30,31
0,34.5,6.4375
0,17,8.6625
0,42,7.55
0,,69.55
0,35,7.8958
0,28,33
1,,89.1042
0,4,31.275
0,74,7.775
0,9,15.2458
1,16,39.4
0,44,26
1,18,9.35
1,45,164.8667
1,51,26.55
1,24,19.2583
0,,7.2292
0,41,14.1083
0,21,11.5
1,48,25.9292
0,,69.55
0,24,13
1,42,13
1,27,13.8583
0,31,50.4958
0,,9.5
1,4,11.1333
0,26,7.8958
1,47,52.5542
0,33,5
0,47,9
1,28,24
1,15,7.225
0,20,9.8458
0,19,7.8958
0,,7.8958
1,56,83.1583
1,25,26
0,33,7.8958
0,22,10.5167
0,28,10.5
0,25,7.05
0,39,29.125
0,27,13
1,19,30
0,,23.45
1,26,30
0,32,7.75
