Survived,Age,Parch,Fare
0,29,0,27.7208
0,45,1,14.4542
0,35,0,7.05
0,,0,15.5
0,30,0,7.25
1,60,0,75.25
1,,0,7.2292
1,,0,7.75
1,24,0,69.3
1,25,0,55.4417
0,18,0,6.4958
0,19,0,8.05
0,22,0,135.6333
0,3,1,21.075
1,,0,82.1708
1,22,0,7.25
0,27,2,211.5
0,20,0,4.0125
0,19,0,7.775
1,42,0,227.525
1,1,2,15.7417
0,32,0,7.925
1,35,0,52
0,,0,7.8958
0,18,0,73.5
0,1,2,46.9
1,36,0,13
0,,0,7.7292
1,17,0,12
1,36,2,120
1,21,0,7.7958
0,28,0,7.925
1,23,0,113.275
1,24,2,16.7
0,22,0,7.7958
0,31,0,7.8542
0,46,0,26
0,23,0,10.5
1,28,0,12.65
1,39,0,7.925
0,26,0,8.05
0,21,0,9.825
0,28,0,15.85
0,20,0,8.6625
0,34,0,21
0,51,0,7.75
1,3,1,18.75
0,21,0,7.775
0,,1,25.4667
0,,0,7.8958
0,,0,6.8583
1,33,0,90
0,,0,0
1,44,0,7.925
0,,0,8.05
1,34,1,32.5
1,18,2,13
0,30,0,13
0,10,2,24.15
0,,0,7.8958
0,21,0,7.7333
0,29,0,7.875
0,28,1,14.4
0,18,1,20.2125
0,,0,7.25
1,28,0,26
1,19,0,26
0,,0,7.75
1,32,0,8.05
1,28,0,26.55
1,,0,16.1
1,42,0,26
0,17,0,7.125
0,50,0,55.9
1,14,2,120
0,21,2,34.375
1,24,3,18.75
0,64,4,263
0,31,0,10.5
1,45,1,26.25
0,20,0,9.5
0,25,0,7.775
1,28,0,13
1,,0,8.1125
1,4,2,81.8583
1,13,1,19.5
1,34,0,26.55
1,5,1,19.2583
1,52,0,30.5
0,36,2,27.75
0,,0,19.9667
0,30,0,27.75
1,49,0,89.1042
0,,0,8.05
1,29,0,7.8958
0,65,0,26.55
1,,0,51.8625
1,50,0,10.5
0,,0,7.75
1,48,0,26.55
0,34,0,8.05
0,47,0,38.5
0,48,0,13
0,,0,8.05
0,38,0,7.05
0,,0,0
0,56,0,26.55
0,,0,7.725
1,0.75,1,19.2583
0,,0,7.25
0,38,0,8.6625
1,33,2,27.75
1,23,0,13.7917
0,22,0,9.8375
0,,0,52
0,34,0,21
0,29,0,7.0458
0,22,0,7.5208
1,2,1,12.2875
0,9,2,46.9
0,,0,0
0,50,0,8.05
1,63,0,9.5875
1,25,0,91.0792
0,,1,25.4667
1,35,0,90
0,58,0,29.7
0,30,0,8.05
1,9,1,15.9
0,,0,19.9667
0,21,0,7.25
0,55,0,30.5
0,71,0,49.5042
0,21,0,8.05
0,,0,14.4583
1,54,0,78.2667
0,,0,15.1
0,25,2,151.55
0,24,0,7.7958
0,17,0,8.6625
0,21,0,7.75
0,,0,7.6292
0,37,0,9.5875
1,16,0,86.5
0,18,0,108.9
1,33,2,26
1,,0,26.55
0,28,0,22.525
1,26,0,56.4958
1,29,0,7.75
0,,0,8.05
1,36,0,26.2875
1,54,0,59.4
0,24,0,7.4958
0,47,0,34.0208
1,34,0,10.5
0,,0,24.15
1,36,0,26
0,32,0,7.8958
1,30,0,93.5
0,22,0,7.8958
0,,0,7.225
1,44,1,57.9792
0,,0,7.2292
0,40.5,0,7.75
1,50,0,10.5
0,,0,221.7792
0,39,0,7.925
0,23,1,11.5
1,2,1,26
0,,0,7.2292
0,17,1,7.2292
1,,2,22.3583
0,30,0,8.6625
1,7,2,26.25
0,45,0,26.55
1,30,0,106.425
0,,0,14.5
1,22,2,49.5
1,36,2,71
0,9,2,31.275
0,11,2,31.275
1,32,0,26
0,50,0,106.425
0,64,0,26
1,19,0,26
1,,0,13.8625
0,33,1,20.525
1,8,1,36.75
1,17,2,110.8833
0,27,0,26
0,,0,7.8292
1,22,0,7.225
1,22,0,7.775
0,62,0,26.55
1,48,0,39.6
0,,0,227.525
1,39,1,79.65
1,36,0,17.4
0,,0,7.75
0,40,0,7.8958
0,28,0,13.5
0,,0,8.05
0,,0,8.05
0,24,0,24.15
0,19,0,7.8958
0,29,4,21.075
0,,0,7.2292
1,32,0,7.8542
1,62,0,10.5
1,53,0,51.4792
1,36,0,26.3875
1,,0,7.75
0,16,0,8.05
0,19,0,14.5
1,34,0,13
1,39,0,55.9
0,,0,14.4583
1,32,0,7.925
1,25,1,30
1,39,1,110.8833
0,54,0,26
0,36,0,40.125
0,,0,8.7125
1,18,2,79.65
0,47,0,15
1,60,1,79.2
0,22,0,8.05
0,,0,8.05
0,35,0,7.125
1,52,0,78.2667
0,47,0,7.25
0,,2,7.75
0,37,0,26
0,36,1,24.15
1,,0,33
0,49,0,0
0,,0,7.225
1,49,0,56.9292
1,24,1,27
0,,0,7.8958
0,,0,42.4
0,44,0,8.05
1,35,0,26.55
0,36,0,15.55
0,30,0,7.8958
1,27,0,30.5
1,22,2,41.5792
1,40,0,153.4625
0,39,5,31.275
0,,0,7.05
1,,0,15.5
0,,0,7.75
0,35,0,8.05
1,24,2,65
0,34,1,14.4
0,26,0,16.1
1,4,1,39
0,26,0,10.5
0,27,0,14.4542
1,42,0,52.5542
1,20,1,15.7417
0,21,0,7.8542
0,21,0,16.1
0,61,0,32.3208
0,57,0,12.35
1,21,0,77.9583
0,26,0,7.8958
0,,0,7.7333
1,80,0,30
0,51,0,7.0542
1,32,0,30.5
0,,0,0
0,9,2,27.9
1,28,0,13
0,32,0,7.925
0,31,1,26.25
0,41,5,39.6875
0,,0,16.1
0,20,0,7.8542
1,24,0,69.3
0,2,2,27.9
1,,0,56.4958
1,0.75,1,19.2583
1,48,0,76.7292
0,19,0,7.8958
1,56,0,35.5
0,,0,7.55
1,23,0,7.55
0,,0,7.8958
1,18,1,23
0,21,0,8.4333
1,,0,7.8292
0,18,0,6.75
0,24,0,73.5
0,,0,7.8958
0,32,1,15.5
0,23,0,13
0,58,2,113.275
1,50,0,133.65
0,40,0,7.225
0,47,0,25.5875
0,36,0,7.4958
1,20,0,7.925
0,32,0,73.5
0,25,0,13
0,,0,7.775
0,43,0,8.05
1,,0,52
1,40,1,39
0,31,0,52
0,70,0,10.5
1,31,0,13
0,,0,0
0,18,0,7.775
0,24.5,0,8.05
1,18,0,9.8417
0,43,6,46.9
1,36,1,512.3292
0,,0,8.1375
1,27,0,76.7292
0,20,0,9.225
0,14,2,46.9
0,60,1,39
0,25,2,41.5792
0,14,1,39.6875
0,19,0,10.1708
0,18,0,7.7958
1,15,1,211.3375
1,31,0,57
1,4,1,13.4167
1,,0,56.4958
0,25,0,7.225
0,60,0,26.55
0,52,0,13.5
0,44,0,8.05
1,,0,7.7333
0,49,1,110.8833
0,42,0,7.65
1,18,0,227.525
1,35,0,26.2875
0,18,1,14.4542
0,25,0,7.7417
0,26,0,7.8542
0,39,0,26
1,45,0,13.5
1,42,0,26.2875
1,22,0,151.55
1,,1,15.2458
1,24,0,49.5042
0,,0,26.55
1,48,0,52
0,29,0,9.4833
0,52,0,13
0,19,0,7.65
1,38,0,227.525
1,27,0,10.5
0,,0,15.5
0,33,0,7.775
1,6,1,33
0,17,0,7.0542
0,34,0,13
0,50,0,13
1,27,0,53.1
0,20,0,8.6625
1,30,0,21
1,,0,7.7375
0,25,0,26
0,25,0,7.925
1,29,0,211.3375
0,11,0,18.7875
0,,0,0
0,23,0,13
0,23,0,13
0,28.5,0,16.1
0,48,3,34.375
1,35,0,512.3292
0,,0,7.8958
0,,0,7.8958
1,,0,30
0,36,0,78.85
1,21,2,262.375
0,24,0,16.1
1,31,0,7.925
0,70,1,71
0,16,1,20.25
1,30,0,13
0,19,0,53.1
0,31,0,7.75
1,4,1,23
1,6,1,12.475
0,33,0,9.5
0,23,0,7.8958
1,48,2,65
1,0.67,1,14.5
0,28,0,7.7958
0,18,0,11.5
0,34,0,8.05
1,33,0,86.5
0,,0,14.5
0,41,0,7.125
1,20,0,7.2292
1,36,2,120
0,16,0,7.775
1,51,0,77.9583
0,,0,39.6
0,30.5,0,7.75
0,,0,24.15
0,32,0,8.3625
0,24,0,9.5
0,48,0,7.8542
0,57,0,10.5
0,,0,7.225
1,54,3,23
0,18,0,7.75
0,,0,7.75
1,5,0,12.475
0,,0,7.7375
1,43,1,211.3375
1,13,0,7.2292
1,17,0,57
0,29,0,30
0,,2,23.45
0,25,0,7.05
0,25,0,7.25
1,18,0,7.4958
0,8,1,29.125
1,1,2,20.575
0,46,0,79.2
0,,0,7.75
0,16,0,26
0,,2,69.55
0,,0,30.6958
0,25,0,7.8958
0,39,0,13
1,49,0,25.9292
1,31,0,8.6833
0,30,0,7.2292
0,30,1,24.15
0,34,0,13
1,31,1,26.25
1,11,2,120
1,0.42,1,8.5167
1,27,0,6.975
0,31,0,7.775
0,39,0,0
0,18,0,7.775
0,39,0,13
1,33,0,53.1
0,26,0,7.8875
0,39,0,24.15
0,35,0,10.5
0,6,2,31.275
0,30.5,0,8.05
0,,0,0
0,23,0,7.925
0,31,1,37.0042
0,43,0,6.45
0,10,2,27.9
1,52,1,93.5
1,27,0,8.6625
0,38,0,0
1,27,1,12.475
0,2,1,39.6875
0,,0,6.95
0,,0,56.4958
1,1,2,37.0042
1,,0,7.75
1,62,0,80
1,15,0,14.4542
1,0.83,1,18.75
0,,0,7.2292
0,23,0,7.8542
0,18,0,8.3
1,39,1,83.1583
0,21,0,8.6625
0,,0,8.05
1,32,0,56.4958
1,,0,29.7
0,20,0,7.925
0,16,0,10.5
1,30,0,31
0,34.5,0,6.4375
0,17,0,8.6625
0,42,0,7.55
0,,2,69.55
0,35,0,7.8958
0,28,1,33
1,,0,89.1042
0,4,2,31.275
0,74,0,7.775
0,9,1,15.2458
1,16,1,39.4
0,44,0,26
1,18,1,9.35
1,45,1,164.8667
1,51,0,26.55
1,24,3,19.2583
0,,0,7.2292
0,41,0,14.1083
0,21,0,11.5
1,48,0,25.9292
0,,2,69.55
0,24,0,13
1,42,0,13
1,27,0,13.8583
0,31,0,50.4958
0,,0,9.5
1,4,1,11.1333
0,26,0,7.8958
1,47,1,52.5542
0,33,0,5
0,47,0,9
1,28,0,24
1,15,0,7.225
0,20,0,9.8458
0,19,0,7.8958
0,,0,7.8958
1,56,1,83.1583
1,25,1,26
0,33,0,7.8958
0,22,0,10.5167
0,28,0,10.5
0,25,0,7.05
0,39,5,29.125
0,27,0,13
1,19,0,30
0,,2,23.45
1,26,0,30
0,32,0,7.75
